Common Name,KWT,Maximum Canopy Space,Primary ID,Scientific Name,Town / Parish
Redbud 'Forest Pansy',0101000020110F00009C834586A86600C124ABDCBB5CBF5941,>6m ≤12m Diameter,5437,Cercis canadensis 'Forest Pansy',Blackbird Leys CP
Pedunculate oak 'Select',0101000020110F00001681DAEBAC6700C164A0FDD657BF5941,>6m ≤12m Diameter,5436,Quercus robur 'Select',Blackbird Leys CP
Hornbeam,0101000020110F000008140EF42C6800C12F2B737455BF5941,>12m Diameter,5435,Carpinus betulus,Blackbird Leys CP
Red maple  'Fairview Flame',0101000020110F0000F5C0A87CB76A00C199501E028BBF5941,>6m ≤12m Diameter,5433,Acer rubrum 'Fairview Flame' ,Blackbird Leys CP
Downy mespilus 'Robin Hill',0101000020110F0000184D1C36136B00C1622B913488BF5941,≤6m Diameter,5432,Amelanchier arborea 'Robin Hill',Blackbird Leys CP
River Birch,0101000020110F0000D3A18A0F8C6500C1A8BECA00D5BF5941,>6m ≤12m Diameter,5426,Betula nigra,Blackbird Leys CP
Red maple 'Brandywine',0101000020110F0000EF7B23FF8B6400C1B8C5DCB7DEBF5941,>6m ≤12m Diameter,5423,Acer rubrum 'Brandywine' ,Blackbird Leys CP
Redbud 'Forest Pansy',0101000020110F0000BE204DB1BB6800C1F1ABEC7BE2BF5941,>6m ≤12m Diameter,5422,Cercis canadensis 'Forest Pansy',Blackbird Leys CP
Red Maple 'October Glory',0101000020110F00004B1B8F79136800C15602664DF4BF5941,>6m ≤12m Diameter,5421,Acer rubrum 'October Glory',Blackbird Leys CP
Holm oak,0101000020110F0000F6C3FC77C16700C15F1146EBF7BF5941,>6m ≤12m Diameter,5419,Quercus ilex,Blackbird Leys CP
Worplesdon sweet gum,0101000020110F0000975C4EF4165800C11D27820FBEBF5941,>6m ≤12m Diameter,5418,Liquidambar styraciflua 'Worplesdon',Blackbird Leys CP
Downy mespilus 'Robin Hill',0101000020110F0000204AE0A1594D00C16148529166C05941,≤6m Diameter,5417,Amelanchier arborea 'Robin Hill',Blackbird Leys CP
Pedunculate oak 'Select',0101000020110F000057149E77F84200C1AC9FE1BA7AC05941,>12m Diameter,5414,Quercus robur 'Select',Blackbird Leys CP
Silver Lime 'Brabant',0101000020110F00002C73D72A6A4300C1C4F877587AC05941,>12m Diameter,5413,Tilia tomentosa 'Brabant',Blackbird Leys CP
Holm oak,0101000020110F00005FD6273F964500C1778FB83A78C05941,>6m ≤12m Diameter,5412,Quercus ilex,Blackbird Leys CP
Hornbeam,0101000020110F0000CC3101CBF54500C184AAD6F777C05941,>12m Diameter,5410,Carpinus betulus,Blackbird Leys CP
Red maple 'Brandywine',0101000020110F00006CDA209EA64700C18ECCB34D76C05941,>6m ≤12m Diameter,5408,Acer rubrum 'Brandywine' ,Blackbird Leys CP
Silver Lime 'Brabant',0101000020110F00008CE5CEF0F64800C1A119441575C05941,>12m Diameter,5407,Tilia tomentosa 'Brabant',Blackbird Leys CP
Japanese white birch 'Dakota Pinnacle',0101000020110F00008FA0DFBA965900C1CE8D7877C5BF5941,≤6m Diameter,5404,Betula platyphylla 'Dakota Pinnacle' ,Blackbird Leys CP
Silver Lime 'Brabant',0101000020110F000041052AF88D5500C1E9947F43D5BF5941,>12m Diameter,5402,Tilia tomentosa 'Brabant',Blackbird Leys CP
Hornbeam,0101000020110F00000A6293B5465F00C1689A4AEF1EC05941,>12m Diameter,5396,Carpinus betulus,Blackbird Leys CP
Freeman's Maple 'Autumn Blaze',0101000020110F0000BD9A9A9426A300C1D4DD8CF855C05941,>6m ≤12m Diameter,5391,Acer x freemanii 'Autumn Blaze',Oxford City Area (Unparished)
